record,title,direction,operational,reason
e1,U.S. expands AI-chip export-control rules,adverse,true,evidence_ineligible
e2,TSMC accelerates CoWoS capacity expansion,mitigating,true,evidence_ineligible
e3,Elevated military activity around Taiwan Strait,adverse,false,not_operational
e4,China tightens gallium / germanium licensing,adverse,true,evidence_ineligible
e5,Major memory maker trims 2026 capex,mixed,false,not_operational
e6,Japan approves next Rapidus funding tranche,adverse,false,not_operational
h2102_uri,Winter Storm Uri shuts Texas fabs,adverse,true,evidence_ineligible
h2103_renesas,Renesas Naka 300mm fab fire,adverse,true,evidence_ineligible
h2108_malaysia,Malaysia lockdowns choke backend assembly,adverse,true,evidence_ineligible
h2202_kioxia,Kioxia/WD NAND contamination incident,adverse,true,evidence_ineligible
h2202_neon,Ukraine war cuts semiconductor neon supply,adverse,true,evidence_ineligible
h2204_shanghai,Shanghai COVID lockdown snarls electronics logistics,adverse,true,evidence_ineligible
h2208_strait22,PLA live-fire exercises encircle Taiwan,adverse,false,not_operational
h2208_chips,U.S. CHIPS and Science Act signed,mitigating,false,not_operational
h2210_bis,BIS sweeping China export controls (Oct 7 rules),adverse,true,evidence_ineligible
h2301_alliance,U.S.–Japan–Netherlands align on tool controls,adverse,false,not_operational
h2307_gage,China imposes gallium and germanium export licensing,adverse,true,evidence_ineligible
h2307_jpsme,Japan tool export controls take effect,adverse,true,evidence_ineligible
h2308_mate60,Huawei Mate 60 Pro ships SMIC 7nm silicon,mixed,false,not_operational
h2309_duv,Dutch DUV licensing takes effect,adverse,true,evidence_ineligible
h2310_bisupdate,BIS performance-density rule closes A800/H800 path,adverse,true,evidence_ineligible
h2401_noto,Noto Peninsula M7.6 earthquake,adverse,true,evidence_ineligible
h2404_hualien,Taiwan Hualien M7.4 earthquake,adverse,true,evidence_ineligible
h2405_huawei,U.S. revokes Intel/Qualcomm licenses for Huawei,adverse,true,evidence_ineligible
h2412_bis3,BIS third package: HBM controls + 140 entities,adverse,true,evidence_ineligible
h2412_gaban,China bans Ga/Ge/Sb exports to the U.S.,adverse,true,evidence_ineligible
h2501_diffusion,AI Diffusion rule sets worldwide GPU tiers,adverse,false,not_operational
h2501_deepseek,DeepSeek R1 efficiency shock,mixed,false,not_operational
