event_id,stage,exposure_alpha,profile,exposure_basis,profile_basis
p260807_man0807,memory_fab,0.8,market_exponential,"Illustrative commodity-memory availability pressure only. HBM is the allocation destination, not an adverse supplier-output shock. Downstream buyer exposure is propagated; revenue benefit and price changes are not netted against shortages. The 0.80 is an assumed intensity; the exact event remains evidence-excluded.","An allocation and pricing move with no capacity destroyed: it unwinds on a contracting and qualification timescale, not a repair one."
h2607_kumamoto,analog,0.45,outage_recovery,"The verified factual component is Kawashiri wafer-input disruption only. The retained 0.45 is an assumed dimensionless intensity within the analog/MCU stage, not a measured site or global capacity share. Broader Sony/JASM/auto consequences in the original record remain unresolved context; downstream exposure is propagated rather than injected again.","The original day-7 start and generic 60-day linear recovery remain explicit assumptions until eligible evidence overrides this component. The official Renesas final update published August 24 documents Kawashiri wafer-input restoration on August 23. The observation takes effect in replay on August 24; it says nothing about finished output, shipments or other sites."
e1,logic_ai,0.9,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e1,hbm,0.7,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e1,adv_fab,0.35,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e1,adv_pkg,0.3,market_exponential,"The interim final rule names top-end AI accelerators and HBM3E-class stacks directly, so those two stages are near-fully in scope. Advanced fab and advanced packaging are touched only through the China-bound share of the parts being restricted, not across their whole output.","The standing BIS AI-chip and SME regime is already carried by the structural policy layer (policy family ""bis""), so this record models the ADJUSTMENT to the new rule — re-routing, re-qualification, licence applications — which fades. Modelling it as a permanent operational term as well would count the same control twice."
e2,adv_pkg,0.8,market_exponential,"CoWoS is an advanced-packaging capacity line, so the easing lands almost wholly on that stage. It reaches AI logic only by relieving the packaging bottleneck those parts queue for, which is a partial and indirect exposure.",A capacity pull-in eases an allocation constraint; the relief is absorbed into the running baseline over a commercial cycle rather than ending on a date.
e2,logic_ai,0.35,market_exponential,"CoWoS is an advanced-packaging capacity line, so the easing lands almost wholly on that stage. It reaches AI logic only by relieving the packaging bottleneck those parts queue for, which is a partial and indirect exposure.",A capacity pull-in eases an allocation constraint; the relief is absorbed into the running baseline over a commercial cycle rather than ending on a date.
e4,gases,0.75,market_exponential,Gallium and germanium are gases-and-materials stage inputs and the licensing regime applies to them directly. Analog is exposed only through the subset of parts that use those materials.,"A licensing throughput slowdown, not a physical outage: it eases as licences clear and as buyers qualify alternative sources."
e4,analog,0.3,market_exponential,Gallium and germanium are gases-and-materials stage inputs and the licensing regime applies to them directly. Analog is exposed only through the subset of parts that use those materials.,"A licensing throughput slowdown, not a physical outage: it eases as licences clear and as buyers qualify alternative sources."
h2606_mpban,gases,0.55,market_exponential,Blacklisting named U.S. rare-earth processors restricts part of the materials stage rather than all of it; automotive demand is the downstream end-market the record names.,"A counter-designation whose effect is on procurement routing, which re-forms over a commercial cycle."
h2606_mpban,m_auto,0.25,market_exponential,Blacklisting named U.S. rare-earth processors restricts part of the materials stage rather than all of it; automotive demand is the downstream end-market the record names.,"A counter-designation whose effect is on procurement routing, which re-forms over a commercial cycle."
h2606_subs,logic_ai,0,strategic_context,"Verified clarification of an existing licensing requirement, with no separately evidenced new operational disruption.",Context only; no independent source or duplicate adjustment shock.
h2603_memorypeak,memory_fab,0.85,market_exponential,Commodity-memory availability interpretation with assumed intensity. Buyer effects propagate; HBM allocation gains and supplier revenue are outside this adverse operational channel. Exact dated claims unresolved.,"A price and allocation peak: the record itself states momentum begins cooling at consumer affordability limits, i.e. a commercial-timescale decay."
h2601_ease,logic_ai,0.45,market_exponential,"Case-by-case review reopens a licensing path for one performance band, so neither stage is wholly in scope; the AI end-market is the side that regains access.",An easing folded into the standing BIS regime carried structurally; the operational term models the transitional relief.
h2601_ease,m_ai,0.55,market_exponential,"Case-by-case review reopens a licensing path for one performance band, so neither stage is wholly in scope; the AI end-market is the side that regains access.",An easing folded into the standing BIS regime carried structurally; the operational term models the transitional relief.
h2512_memory,memory_fab,0.75,market_exponential,Commodity-memory availability interpretation with assumed intensity. Buyer effects propagate; HBM allocation gains and supplier revenue are outside this adverse operational channel. Exact dated claims unresolved.,"A shortage that clears as capacity and pricing re-equilibrate, on a commercial timescale."
h2510_truce,gases,0.6,persistent_policy,The specified suspension is mapped to the materials proxy stage with assumed intensity 0.60. Downstream analog consequences are propagated. This is not a measured gas-capacity share.,"The record carries an explicit dated window: agreed 30 October 2025, formalized 7 November 2025 (day 8), expiring 10 November 2026 (day 376) unless extended. A suspension is either in force or it is not — it does not fade — so it is modelled as in force across that interval and zero outside it."
h2510_reemax,gases,0.85,market_exponential,A sweeping expansion of rare-earth controls is close to a whole-stage measure for materials. Automotive is the end-market with the heaviest magnet dependence in the record; AI systems the lightest of those named.,"A control expansion whose operational bite is licence throughput and inventory drawdown, both commercial-timescale effects."
